actual_label,predicted_label,reconstruction_error,flagged_as_anomaly
normal,smurf,0.082310036,1
normal,normal,0.0044169985,0
portsweep,portsweep,0.15331419,1
neptune,neptune,0.5910735,1
neptune,neptune,0.46108738,1
warezclient,normal,0.03796046,0
normal,normal,0.0011615048,0
neptune,neptune,0.6820111,1
normal,normal,0.0012029732,0
normal,normal,0.0010647299,0
neptune,neptune,0.5907345,1
normal,normal,0.0150544485,0
normal,normal,0.0015674172,0
normal,normal,0.002303766,0
normal,normal,0.013458837,0
warezclient,normal,0.035460617,0
neptune,neptune,0.66057354,1
normal,normal,0.0150809465,0
back,back,0.109157726,1
neptune,neptune,0.3265787,1
satan,satan,1.5257839,1
normal,normal,0.0036717034,0
neptune,neptune,0.45776853,1
normal,normal,0.004472385,0
satan,normal,0.041940883,0
normal,normal,0.008330235,0
neptune,neptune,0.57559747,1
neptune,neptune,0.62587047,1
normal,warezclient,0.0852658,1
nmap,nmap,0.13924713,1
normal,normal,0.00090667506,0
neptune,neptune,0.47236684,1
normal,normal,0.00073101243,0
normal,warezclient,0.1427314,1
normal,normal,0.005497966,0
neptune,neptune,0.71023446,1
neptune,neptune,0.7109066,1
normal,normal,0.04058401,0
neptune,neptune,0.42903233,1
normal,normal,0.0041906596,0
portsweep,portsweep,0.6687557,1
normal,normal,0.014293941,0
normal,normal,0.0070615127,0
normal,normal,0.007558442,0
neptune,neptune,0.5298576,1
normal,normal,0.0060187965,0
normal,normal,0.005772499,0
normal,normal,0.0014124945,0
normal,normal,0.0004933298,0
normal,normal,0.005802518,0
normal,ipsweep,0.116421975,1
normal,normal,0.0012319073,0
normal,normal,0.018371845,0
normal,normal,0.00043413206,0
normal,normal,0.002374282,0
neptune,neptune,0.46016592,1
normal,normal,0.00070274906,0
neptune,neptune,0.7109093,1
neptune,neptune,0.71999264,1
normal,normal,0.004290503,0
neptune,neptune,0.6733063,1
normal,normal,0.017605906,0
ipsweep,ipsweep,0.35531008,1
normal,normal,0.0022847871,0
normal,normal,0.026848404,0
neptune,neptune,0.66605526,1
portsweep,portsweep,1.234375,1
normal,normal,0.029696556,0
ipsweep,ipsweep,0.26848564,1
neptune,neptune,0.7370861,1
neptune,neptune,0.5880344,1
satan,satan,1.4555309,1
normal,normal,0.00094719057,0
neptune,neptune,0.6822381,1
normal,normal,0.0017579686,0
back,normal,0.0551568,0
normal,normal,0.004345448,0
normal,normal,0.0006154808,0
normal,normal,0.0036492725,0
normal,normal,0.0021965879,0
normal,normal,0.00634788,0
normal,normal,0.00053702993,0
normal,normal,0.009179925,0
neptune,neptune,0.53154457,1
normal,normal,0.0009413382,0
normal,normal,0.00106887,0
normal,normal,0.015708873,0
normal,normal,0.043133914,0
normal,normal,0.0004807498,0
normal,warezclient,0.11027897,1
nmap,nmap,0.14578608,1
normal,satan,0.07802402,1
ipsweep,ipsweep,0.27600425,1
normal,normal,0.0012643521,0
normal,normal,0.022636043,0
normal,normal,0.0008956038,0
normal,normal,0.0013206518,0
neptune,neptune,0.7145395,1
normal,normal,0.0011889938,0
normal,normal,0.0035682265,0
neptune,neptune,0.540961,1
neptune,neptune,0.72721815,1
neptune,neptune,0.5512599,1
normal,normal,0.0015249781,0
normal,loadmodule,0.14246874,1
normal,normal,0.004027342,0
back,back,0.1720763,1
satan,satan,0.09250243,1
normal,normal,0.004358951,0
warezclient,normal,0.03756747,0
normal,normal,0.0014215946,0
normal,normal,0.037791293,0
neptune,neptune,0.58885425,1
normal,normal,0.0019302457,0
normal,normal,0.006230332,0
neptune,neptune,0.58873504,1
normal,normal,0.0011676602,0
normal,normal,0.061205424,0
back,normal,0.055469245,0
normal,normal,0.0064448477,0
normal,normal,0.015539449,0
neptune,neptune,0.5777274,1
normal,normal,0.0023967968,0
neptune,neptune,0.5952576,1
normal,normal,0.014868972,0
neptune,neptune,0.59294015,1
normal,normal,0.0029417453,0
normal,normal,0.0005173415,0
neptune,neptune,0.61153275,1
normal,normal,0.0032531817,0
normal,normal,0.0021212946,0
normal,normal,0.014568641,0
neptune,neptune,0.582422,1
normal,normal,0.0019065755,0
portsweep,portsweep,1.1108415,1
normal,normal,0.027064934,0
neptune,neptune,0.47147354,1
normal,normal,0.0015595572,0
normal,normal,0.00085595396,0
neptune,neptune,0.65979844,1
neptune,neptune,0.38259578,1
normal,normal,0.0015808915,0
neptune,neptune,0.41567266,1
neptune,neptune,0.5953416,1
normal,normal,0.0068879365,0
neptune,neptune,0.4957157,1
normal,normal,0.0073653073,0
normal,normal,0.012396732,0
satan,satan,1.5709308,1
normal,phf,0.28483924,1
normal,normal,0.0042196102,0
normal,normal,0.0066477014,0
neptune,neptune,0.5312844,1
normal,normal,0.0006565791,0
normal,smurf,0.08627794,1
nmap,nmap,0.13368706,1
normal,normal,0.006967844,0
normal,normal,0.004405814,0
neptune,neptune,0.34440956,1
normal,normal,0.00550322,0
normal,normal,0.0005368834,0
neptune,neptune,0.5607371,1
neptune,neptune,0.31358325,1
neptune,neptune,0.62719107,1
neptune,neptune,0.45687345,1
normal,normal,0.0004403544,0
normal,normal,0.0067785108,0
normal,normal,0.014768314,0
neptune,neptune,0.5938447,1
normal,normal,0.0006592767,0
normal,ipsweep,0.09825196,1
normal,normal,0.0024480657,0
normal,normal,0.001031721,0
normal,normal,0.0067329863,0
neptune,neptune,0.5954951,1
neptune,neptune,0.6626439,1
neptune,neptune,0.70777535,1
neptune,neptune,0.62771815,1
normal,normal,0.044596586,0
normal,normal,0.007514745,0
normal,normal,0.0067257346,0
neptune,neptune,0.5755276,1
normal,normal,0.0011516445,0
neptune,neptune,0.7023456,1
normal,normal,0.034439445,0
neptune,neptune,0.5836901,1
neptune,neptune,0.6426147,1
normal,normal,0.003139549,0
normal,normal,0.00044975645,0
ipsweep,ipsweep,0.49839872,1
neptune,neptune,0.68612784,1
normal,normal,0.012121722,0
normal,normal,0.0042423946,0
ipsweep,ipsweep,1.0039253,1
nmap,nmap,0.5901392,1
neptune,neptune,0.6873991,1
teardrop,teardrop,3.809342,1
neptune,neptune,0.6988451,1
normal,normal,0.0009032694,0
neptune,neptune,0.5477477,1
normal,normal,0.025726851,0
normal,normal,0.008683423,0
neptune,neptune,0.33333305,1
neptune,neptune,0.6965848,1
normal,nmap,0.06735018,1
normal,normal,0.013949596,0
nmap,normal,0.024331326,0
neptune,neptune,0.66335624,1
neptune,neptune,0.53451174,1
normal,normal,0.0062964433,0
normal,normal,0.00043411375,0
normal,normal,0.00065927353,0
neptune,neptune,0.32370338,1
normal,normal,0.0025094545,0
normal,normal,0.029030668,0
normal,warezclient,0.06344566,1
neptune,neptune,0.31654784,1
normal,normal,0.0014168592,0
normal,normal,0.0016532525,0
normal,normal,0.055359595,0
portsweep,portsweep,1.3144482,1
normal,normal,0.0006592912,0
normal,imap,0.25960976,1
satan,satan,1.5984157,1
warezclient,normal,0.028859876,0
neptune,neptune,0.68057394,1
satan,satan,1.4408947,1
normal,normal,0.005257446,0
back,normal,0.03316956,0
neptune,neptune,0.54996246,1
satan,satan,0.36389676,1
neptune,neptune,0.5919576,1
normal,normal,0.0008635236,0
normal,normal,0.008200888,0
neptune,neptune,0.35146517,1
neptune,neptune,0.5669761,1
normal,normal,0.00046166347,0
satan,satan,0.06787601,1
normal,normal,0.0052226894,0
neptune,neptune,0.54834306,1
neptune,neptune,0.70334685,1
normal,normal,0.0042507485,0
neptune,neptune,0.6408433,1
smurf,smurf,0.5251058,1
normal,normal,0.0017739087,0
normal,normal,0.0005669429,0
normal,normal,0.038745936,0
neptune,neptune,0.42269656,1
neptune,neptune,0.7203025,1
satan,satan,1.5437311,1
neptune,neptune,0.5361061,1
neptune,neptune,0.34717938,1
normal,nmap,0.27089155,1
neptune,neptune,0.34896392,1
normal,normal,0.00636151,0
normal,normal,0.012494475,0
neptune,neptune,0.74241275,1
neptune,neptune,0.5733673,1
normal,normal,0.014969372,0
normal,warezclient,1.5657332,1
normal,normal,0.0027157415,0
neptune,neptune,0.7082769,1
normal,normal,0.014155424,0
normal,normal,0.028072035,0
normal,normal,0.0008759675,0
normal,normal,0.0102185765,0
normal,normal,0.022528814,0
neptune,neptune,0.67927265,1
smurf,normal,0.03139482,0
neptune,neptune,0.66766405,1
neptune,neptune,0.67016864,1
normal,normal,0.0030205026,0
normal,normal,0.0028914432,0
normal,normal,0.015986463,0
normal,normal,0.0071738395,0
neptune,neptune,0.6801428,1
normal,normal,0.0015854259,0
ipsweep,ipsweep,0.29807353,1
neptune,neptune,0.59799874,1
neptune,neptune,0.6528072,1
normal,normal,0.010038423,0
normal,neptune,0.0729354,1
normal,normal,0.0038769206,0
normal,normal,0.0007820162,0
normal,normal,0.018928627,0
normal,normal,0.010839007,0
ipsweep,ipsweep,0.31657037,1
neptune,neptune,0.67512643,1
neptune,neptune,0.63628465,1
neptune,neptune,0.5445692,1
neptune,neptune,0.65623176,1
neptune,neptune,0.4486274,1
neptune,neptune,0.67168254,1
normal,normal,0.014824991,0
smurf,smurf,0.23595051,1
smurf,smurf,0.1320178,1
normal,normal,0.006434659,0
normal,normal,0.0019594943,0
normal,normal,0.010932816,0
back,normal,0.0440845,0
normal,normal,0.0019550193,0
normal,normal,0.0013062466,0
normal,normal,0.005075411,0
normal,normal,0.0019522539,0
normal,normal,0.00036657788,0
normal,normal,0.00054621795,0
neptune,neptune,0.5845846,1
pod,pod,0.4163889,1
normal,warezclient,0.11131611,1
neptune,neptune,0.56260246,1
normal,normal,0.00046544345,0
neptune,neptune,0.71747214,1
portsweep,portsweep,1.6249824,1
normal,normal,0.0099536795,0
neptune,neptune,0.5648479,1
warezclient,warezclient,0.15201153,1
normal,normal,0.017071754,0
normal,normal,0.00269771,0
normal,phf,0.20498551,1
normal,normal,0.0014991249,0
neptune,neptune,0.7064583,1
satan,satan,1.5268762,1
normal,satan,0.12560734,1
portsweep,portsweep,1.5129008,1
normal,warezclient,0.09020838,1
neptune,neptune,0.5414788,1
normal,warezclient,0.13916011,1
normal,normal,0.0021465071,0
portsweep,portsweep,0.17800881,1
neptune,neptune,0.6577127,1
normal,imap,0.18985634,1
neptune,neptune,0.71179324,1
neptune,neptune,0.6062643,1
normal,normal,0.014218129,0
satan,satan,0.25497663,1
normal,normal,0.0010688895,0
normal,normal,0.0020146114,0
normal,normal,0.0253001,0
neptune,neptune,0.6245074,1
normal,normal,0.009579946,0
neptune,neptune,0.6237843,1
ipsweep,ipsweep,0.2992305,1
neptune,neptune,0.5924751,1
neptune,neptune,0.5466822,1
normal,warezclient,0.18773957,1
neptune,neptune,0.48758894,1
teardrop,teardrop,3.6979797,1
normal,ipsweep,0.06461821,1
neptune,neptune,0.689196,1
satan,satan,0.23908351,1
neptune,neptune,0.5446289,1
normal,normal,0.00081123505,0
neptune,neptune,0.6761764,1
normal,normal,0.006406829,0
neptune,neptune,0.56369704,1
ipsweep,ipsweep,0.30885106,1
normal,normal,0.0012512135,0
neptune,neptune,0.593877,1
neptune,neptune,0.55627185,1
normal,normal,0.056522314,0
normal,normal,0.00041814736,0
normal,normal,0.00373514,0
normal,normal,0.0010258943,0
neptune,neptune,0.6958305,1
normal,normal,0.00396735,0
neptune,neptune,0.67854625,1
neptune,neptune,0.6941179,1
normal,normal,0.005471456,0
ipsweep,ipsweep,0.27288562,1
neptune,neptune,0.56411844,1
normal,normal,0.0020360064,0
normal,normal,0.00096047396,0
normal,normal,0.026604226,0
normal,normal,0.0063551157,0
neptune,neptune,0.70445716,1
normal,normal,0.00094729103,0
satan,satan,1.5265299,1
normal,warezclient,0.19119787,1
neptune,neptune,0.5940001,1
neptune,neptune,0.7355699,1
normal,normal,0.0026113596,0
back,normal,0.05154402,0
normal,normal,0.0012852012,0
smurf,normal,0.014712966,0
neptune,neptune,0.63277054,1
normal,normal,0.009495574,0
satan,satan,0.25619116,1
normal,normal,0.0049459557,0
normal,normal,0.023207223,0
neptune,neptune,0.6797222,1
normal,warezclient,0.20856254,1
neptune,neptune,0.42375857,1
normal,normal,0.001343477,0
normal,normal,0.0037312626,0
normal,normal,0.0064071794,0
neptune,neptune,0.65017396,1
neptune,neptune,0.6891836,1
neptune,neptune,0.51230717,1
normal,phf,0.07490083,1
normal,normal,0.06093626,0
normal,normal,0.007957887,0
normal,normal,0.014358743,0
neptune,neptune,0.74627197,1
neptune,neptune,0.68745375,1
normal,normal,0.009788632,0
back,normal,0.033741303,0
smurf,smurf,0.30938113,1
normal,normal,0.005476131,0
neptune,neptune,0.70664495,1
neptune,neptune,0.5810801,1
neptune,neptune,0.6118259,1
teardrop,teardrop,3.7106853,1
normal,warezclient,0.106880754,1
neptune,neptune,0.5769082,1
normal,normal,0.000888964,0
neptune,neptune,0.7351156,1
normal,normal,0.003983846,0
normal,normal,0.01801525,0
normal,normal,0.00081132853,0
neptune,neptune,0.67583764,1
normal,portsweep,0.16515298,1
neptune,neptune,0.6114106,1
normal,normal,0.0013207301,0
normal,normal,0.005825372,0
normal,normal,0.0007642852,0
normal,satan,0.2319519,1
normal,normal,0.0071263234,0
normal,normal,0.0007401424,0
normal,normal,0.00047488976,0
normal,normal,0.0059277955,0
normal,normal,0.009138159,0
smurf,normal,0.028233321,0
teardrop,teardrop,3.7242415,1
normal,normal,0.004497379,0
normal,normal,0.014142282,0
normal,normal,0.027531559,0
ipsweep,ipsweep,0.31827316,1
neptune,neptune,0.64511824,1
neptune,neptune,0.7349446,1
smurf,normal,0.017040003,0
normal,normal,0.009196082,0
neptune,neptune,0.68117386,1
normal,normal,0.0051827054,0
satan,satan,0.46149775,1
normal,normal,0.00052192324,0
normal,normal,0.057741016,0
normal,normal,0.009556242,0
satan,satan,0.82639104,1
neptune,neptune,0.5956254,1
normal,normal,0.0066067013,0
neptune,neptune,0.50216573,1
normal,normal,0.022788167,0
normal,normal,0.002837186,0
neptune,neptune,0.5903757,1
normal,normal,0.008388049,0
neptune,neptune,0.5831935,1
neptune,neptune,0.58035666,1
normal,normal,0.04480089,0
neptune,neptune,0.7195177,1
normal,normal,0.042289447,0
satan,satan,0.21345219,1
ipsweep,ipsweep,0.42592335,1
ipsweep,ipsweep,0.2910479,1
neptune,neptune,0.4906157,1
nmap,normal,0.009829315,0
teardrop,teardrop,3.7081728,1
normal,normal,0.0065115173,0
neptune,neptune,0.5987294,1
smurf,normal,0.01235993,0
normal,normal,0.0013353404,0
ipsweep,ipsweep,0.41288373,1
normal,normal,0.0012352371,0
neptune,neptune,0.6539447,1
normal,normal,0.0028859752,0
normal,normal,0.0033609373,0
normal,normal,0.0027814824,0
normal,normal,0.0035604164,0
normal,normal,0.0009345166,0
normal,normal,0.0037157077,0
normal,normal,0.0018834978,0
normal,warezclient,0.07458042,1
normal,normal,0.04534424,0
neptune,neptune,0.66021216,1
normal,normal,0.03272055,0
neptune,neptune,0.69942534,1
neptune,neptune,0.6715331,1
satan,satan,1.4026397,1
neptune,neptune,0.54190636,1
neptune,neptune,0.64301157,1
normal,normal,0.0009820125,0
normal,normal,0.016488073,0
normal,normal,0.006805551,0
neptune,neptune,0.68698734,1
normal,normal,0.0026737861,0
normal,normal,0.0034381684,0
neptune,neptune,0.5806193,1
normal,normal,0.0028736037,0
normal,normal,0.0016143627,0
neptune,neptune,0.5708679,1
normal,normal,0.0004420716,0
neptune,neptune,0.6740422,1
normal,normal,0.0011818347,0
normal,normal,0.0038823348,0
normal,normal,0.003808198,0
neptune,neptune,0.5577155,1
normal,normal,0.005334809,0
neptune,neptune,0.70079803,1
neptune,neptune,0.70768535,1
portsweep,portsweep,0.20318203,1
normal,normal,0.009807067,0
normal,normal,0.0020076688,0
ipsweep,ipsweep,0.26652265,1
normal,normal,0.00062816445,0
normal,normal,0.0007914206,0
normal,normal,0.034314707,0
teardrop,teardrop,3.7587116,1
neptune,neptune,0.37748107,1
normal,normal,0.009974763,0
normal,normal,0.0006592744,0
neptune,neptune,0.6647031,1
neptune,neptune,0.62141305,1
normal,normal,0.00064757164,0
normal,normal,0.0013724667,0
neptune,neptune,0.5337575,1
neptune,neptune,0.65775853,1
normal,normal,0.006717039,0
neptune,neptune,0.31400737,1
normal,normal,0.005229421,0
neptune,neptune,0.41207987,1
normal,normal,0.003358092,0
satan,satan,1.5221632,1
portsweep,portsweep,0.9173082,1
normal,normal,0.0011352084,0
smurf,normal,0.031844337,0
normal,normal,0.0071029654,0
neptune,neptune,0.6626757,1
normal,normal,0.021019705,0
normal,normal,0.030562378,0
neptune,neptune,0.3399084,1
normal,normal,0.010488842,0
normal,normal,0.0006849275,0
neptune,neptune,0.75683486,1
neptune,neptune,0.67972296,1
normal,normal,0.030613,0
neptune,neptune,0.45977366,1
normal,normal,0.007888001,0
smurf,smurf,0.10532271,1
normal,normal,0.001005001,0
ipsweep,ipsweep,0.5501335,1
nmap,nmap,0.14153288,1
neptune,neptune,0.5850221,1
normal,normal,0.0016337618,0
normal,normal,0.0008643687,0
neptune,neptune,0.65963155,1
normal,normal,0.001362074,0
nmap,nmap,0.14416182,1
neptune,neptune,0.5488983,1
normal,normal,0.002420249,0
neptune,neptune,0.7247074,1
neptune,neptune,0.65502316,1
neptune,neptune,0.5813,1
ipsweep,ipsweep,0.339517,1
normal,normal,0.0006188366,0
normal,normal,0.0006704861,0
normal,normal,0.01192657,0
neptune,neptune,0.72748977,1
normal,normal,0.018136315,0
neptune,neptune,0.62949926,1
normal,normal,0.01036904,0
neptune,neptune,0.5777543,1
normal,normal,0.0024691285,0
normal,normal,0.0008206492,0
smurf,normal,0.019083297,0
neptune,neptune,0.2812176,1
normal,normal,0.007554987,0
normal,ipsweep,0.074016236,1
normal,normal,0.0503587,0
neptune,neptune,0.5818132,1
neptune,neptune,0.6286952,1
satan,normal,0.024891533,0
normal,normal,0.009312247,0
neptune,neptune,0.563758,1
normal,normal,0.0021280039,0
normal,normal,0.0015830501,0
normal,normal,0.053864818,0
neptune,neptune,0.6015895,1
normal,normal,0.010970317,0
normal,normal,0.0034354944,0
normal,normal,0.0022559047,0
normal,normal,0.0016517676,0
normal,normal,0.0009474322,0
neptune,neptune,0.5934503,1
normal,warezclient,0.5746825,1
neptune,neptune,0.49588966,1
neptune,neptune,0.5234244,1
normal,normal,0.015626395,0
neptune,neptune,0.71124125,1
neptune,neptune,0.58606935,1
normal,normal,0.006251042,0
normal,normal,0.0012501328,0
normal,normal,0.0010215542,0
normal,normal,0.013102494,0
normal,normal,0.0007209036,0
neptune,neptune,0.7435938,1
normal,normal,0.0014326253,0
normal,ipsweep,0.065599695,1
normal,normal,0.0055247555,0
normal,normal,0.000548374,0
normal,normal,0.0034573062,0
normal,normal,0.00052900636,0
nmap,nmap,0.1552249,1
neptune,neptune,0.31953374,1
normal,normal,0.0015283017,0
normal,normal,0.00094302755,0
normal,normal,0.0072362535,0
satan,normal,0.037827834,0
normal,normal,0.03270692,0
neptune,neptune,0.5904911,1
normal,normal,0.0027622965,0
normal,normal,0.0077820304,0
neptune,neptune,0.5902527,1
neptune,neptune,0.67281014,1
normal,normal,0.001083637,0
smurf,smurf,0.3244762,1
normal,normal,0.0032794536,0
smurf,smurf,0.15616994,1
normal,normal,0.020384649,0
ipsweep,ipsweep,0.28723702,1
normal,normal,0.024476916,0
normal,normal,0.0013868898,0
neptune,neptune,0.59044313,1
neptune,neptune,0.59204435,1
normal,warezclient,0.17833093,1
normal,normal,0.01072647,0
normal,normal,0.02943193,0
neptune,neptune,0.5884163,1
portsweep,portsweep,1.1324011,1
neptune,neptune,0.57799864,1
neptune,neptune,0.7346241,1
normal,normal,0.00055628654,0
neptune,neptune,0.6009144,1
normal,normal,0.0058209286,0
normal,nmap,0.0906478,1
neptune,neptune,0.2959416,1
neptune,neptune,0.7128769,1
neptune,neptune,0.5867351,1
normal,normal,0.0007521626,0
neptune,neptune,0.7232369,1
normal,normal,0.0007749727,0
normal,satan,0.07929859,1
normal,normal,0.011172355,0
ipsweep,ipsweep,0.2877179,1
neptune,neptune,0.6970722,1
neptune,neptune,0.7452139,1
normal,normal,0.0004341131,0
normal,normal,0.010224211,0
neptune,neptune,0.5775631,1
normal,normal,0.0009471675,0
neptune,neptune,0.52582175,1
normal,normal,0.0018399532,0
satan,satan,1.3587526,1
normal,normal,0.00042644594,0
neptune,neptune,0.60924566,1
neptune,neptune,0.6511972,1
neptune,neptune,0.59257877,1
normal,normal,0.0127204135,0
normal,normal,0.0004794137,0
normal,normal,0.012115128,0
normal,normal,0.03939103,0
normal,normal,0.0013551745,0
normal,normal,0.0007720501,0
neptune,neptune,0.5713544,1
satan,satan,0.1057155,1
normal,normal,0.0016874769,0
neptune,neptune,0.31516346,1
normal,normal,0.02348878,0
normal,normal,0.002190368,0
normal,normal,0.03452101,0
neptune,neptune,0.6802395,1
normal,normal,0.00049306056,0
normal,normal,0.0058789756,0
normal,normal,0.05936873,0
normal,normal,0.00758882,0
normal,normal,0.0048936624,0
neptune,neptune,0.55012727,1
neptune,neptune,0.38459873,1
normal,normal,0.0004932039,0
neptune,neptune,0.5908408,1
normal,ipsweep,0.07285786,1
normal,normal,0.006817246,0
normal,normal,0.0014488687,0
normal,spy,0.12888126,1
normal,normal,0.0046580257,0
normal,normal,0.03663082,0
normal,back,0.20344555,1
normal,normal,0.0032005166,0
normal,normal,0.014636013,0
normal,phf,0.2354975,1
normal,normal,0.0008492819,0
normal,normal,0.017553085,0
neptune,neptune,0.62685084,1
normal,normal,0.056886498,0
normal,normal,0.039463688,0
neptune,neptune,0.6885348,1
neptune,neptune,0.7437816,1
normal,normal,0.0005383929,0
neptune,neptune,0.6698241,1
normal,normal,0.00049243245,0
normal,normal,0.020211304,0
normal,normal,0.001068855,0
neptune,neptune,0.5847316,1
neptune,neptune,0.52792615,1
neptune,neptune,0.41033915,1
neptune,neptune,0.32290974,1
normal,normal,0.00083759055,0
satan,satan,0.06900807,1
normal,normal,0.035938077,0
ipsweep,ipsweep,0.31309846,1
normal,normal,0.0025870127,0
normal,normal,0.0008571668,0
neptune,neptune,0.7474955,1
back,normal,0.031088844,0
nmap,nmap,0.13353267,1
normal,normal,0.004918708,0
back,normal,0.021299383,0
neptune,neptune,0.62359035,1
neptune,neptune,0.3428113,1
neptune,neptune,0.44216612,1
normal,normal,0.0027658034,0
neptune,neptune,0.52899665,1
neptune,neptune,0.51256543,1
neptune,neptune,0.43783417,1
smurf,normal,0.05410848,0
satan,satan,0.08014835,1
normal,normal,0.05078888,0
normal,warezclient,0.087516986,1
neptune,neptune,0.5518896,1
neptune,neptune,0.72389483,1
normal,normal,0.0011694304,0
normal,normal,0.0028517265,0
normal,normal,0.0019192897,0
normal,normal,0.009989223,0
normal,normal,0.0011957464,0
teardrop,teardrop,3.6887202,1
normal,normal,0.006567368,0
neptune,neptune,0.41120967,1
normal,warezclient,0.23619068,1
normal,normal,0.0041044806,0
neptune,neptune,0.4246676,1
neptune,neptune,0.60429674,1
normal,normal,0.0043829014,0
normal,normal,0.0065151863,0
normal,normal,0.032804936,0
normal,normal,0.00059998146,0
neptune,neptune,0.6362318,1
normal,normal,0.0005361861,0
satan,satan,1.3848251,1
normal,satan,1.3261856,1
normal,normal,0.0056339237,0
normal,normal,0.027592694,0
portsweep,portsweep,1.1486647,1
normal,normal,0.00075058686,0
normal,normal,0.0075537805,0
normal,normal,0.016726458,0
smurf,normal,0.047556996,0
ipsweep,ipsweep,0.2651198,1
normal,normal,0.002215101,0
neptune,neptune,0.69417953,1
neptune,neptune,0.6680091,1
ipsweep,ipsweep,0.2948567,1
normal,warezclient,0.13700424,1
neptune,neptune,0.5709539,1
satan,satan,0.0650023,1
normal,normal,0.027060196,0
nmap,nmap,0.1480553,1
normal,normal,0.004885018,0
normal,normal,0.0042959265,0
normal,normal,0.0014646845,0
normal,normal,0.0023864552,0
smurf,normal,0.038132995,0
normal,normal,0.008245509,0
normal,normal,0.0015646026,0
normal,imap,3.5545623,1
normal,portsweep,0.2456201,1
neptune,neptune,0.6553844,1
back,back,0.09480544,1
neptune,neptune,0.5699433,1
neptune,neptune,0.6887084,1
neptune,neptune,0.6868652,1
neptune,neptune,0.58211565,1
neptune,neptune,0.3613212,1
normal,guess_passwd,0.5618116,1
teardrop,teardrop,3.730321,1
neptune,neptune,0.45163807,1
smurf,normal,0.038164522,0
normal,warezclient,0.064641155,1
ipsweep,ipsweep,0.25696585,1
normal,normal,0.017426955,0
normal,normal,0.0040775537,0
normal,normal,0.013350611,0
normal,normal,0.018715052,0
normal,normal,0.00081566273,0
ipsweep,ipsweep,0.2750838,1
neptune,neptune,0.6966345,1
normal,normal,0.001510502,0
normal,normal,0.0041608033,0
normal,normal,0.027318299,0
neptune,neptune,0.5570444,1
normal,normal,0.010213962,0
normal,normal,0.005995279,0
normal,neptune,0.41229016,1
normal,normal,0.00037622137,0
smurf,smurf,0.34391364,1
normal,normal,0.0399374,0
normal,normal,0.0049488177,0
normal,normal,0.0063478984,0
normal,normal,0.015414036,0
ipsweep,ipsweep,0.43880388,1
normal,normal,0.0021163095,0
neptune,neptune,0.5942808,1
normal,normal,0.0017075498,0
normal,normal,0.004522845,0
normal,normal,0.0020574383,0
normal,normal,0.0073876483,0
normal,normal,0.0033442224,0
normal,normal,0.00053702254,0
neptune,neptune,0.7167546,1
ipsweep,normal,0.022966588,0
ipsweep,ipsweep,0.16580133,1
normal,normal,0.019611591,0
normal,normal,0.0005133979,0
normal,warezclient,0.07142508,1
neptune,neptune,0.35156724,1
normal,nmap,0.11490636,1
normal,normal,0.028509006,0
warezclient,normal,0.02545216,0
normal,normal,0.0066766776,0
neptune,neptune,0.5827558,1
neptune,neptune,0.36815628,1
neptune,neptune,0.58642626,1
satan,satan,1.4247211,1
normal,normal,0.017416786,0
normal,normal,0.0056788684,0
normal,normal,0.0027719045,0
normal,normal,0.049829323,0
normal,nmap,0.15814678,1
neptune,neptune,0.6379354,1
normal,normal,0.001449152,0
neptune,neptune,0.5505985,1
normal,warezclient,0.06538717,1
normal,normal,0.008176156,0
neptune,neptune,0.7297731,1
normal,normal,0.029393105,0
normal,smurf,0.08400073,1
neptune,neptune,0.67618567,1
back,normal,0.040483985,0
neptune,neptune,0.5763487,1
neptune,neptune,0.6961773,1
neptune,neptune,0.58261496,1
neptune,neptune,0.5347308,1
normal,normal,0.00076695485,0
nmap,normal,0.028051963,0
normal,normal,0.0033502814,0
normal,normal,0.00094118185,0
normal,normal,0.018599147,0
normal,normal,0.0032393301,0
normal,normal,0.0005173627,0
neptune,neptune,0.42425212,1
normal,normal,0.0058896975,0
normal,normal,0.0014480964,0
normal,normal,0.0058080177,0
normal,normal,0.006272246,0
normal,normal,0.0027384209,0
normal,normal,0.00043905654,0
normal,normal,0.0013922073,0
normal,normal,0.01090746,0
neptune,neptune,0.7447004,1
normal,normal,0.04919248,0
normal,normal,0.0004823398,0
normal,normal,0.0065164017,0
neptune,neptune,0.60372317,1
normal,normal,0.0004968798,0
ipsweep,ipsweep,0.29779094,1
normal,normal,0.0021172415,0
normal,normal,0.01902716,0
normal,normal,0.03099917,0
back,normal,0.02244313,0
normal,normal,0.001233147,0
normal,normal,0.0010871143,0
normal,normal,0.00501555,0
normal,normal,0.0023256235,0
normal,normal,0.007159294,0
neptune,neptune,0.70953715,1
neptune,neptune,0.6357965,1
neptune,neptune,0.5847903,1
normal,nmap,0.14527659,1
neptune,neptune,0.2865895,1
normal,normal,0.0023359414,0
normal,normal,0.042572886,0
neptune,neptune,0.57306653,1
normal,normal,0.006650894,0
neptune,neptune,0.56635666,1
normal,normal,0.013172952,0
neptune,neptune,0.5894694,1
neptune,neptune,0.538591,1
back,back,0.08557893,1
neptune,neptune,0.6788852,1
normal,normal,0.002981625,0
normal,normal,0.0012598033,0
normal,normal,0.00081006147,0
neptune,neptune,0.73347074,1
normal,warezclient,0.067688644,1
normal,normal,0.003994277,0
normal,normal,0.007117017,0
